label,code_first_question,text_de,text_fr,text_it,text_ro,text_en,category_label,category_text_de,category_text_fr,category_text_it,category_text_ro,category_text_en,options_value,options_label
Zusammenarbeit,GSB98_24ac1,Zusammenarbeit Gemeindeverwaltung Personalmanagement,,,,,,,,,,,,
Organisationsform,GSB98_24ac2,Organisationsform Gemeindeverwaltung Personalmanagement,,,,,,,,,,,,
Zusammenarbeit,GSB98_24ag1,Zusammenarbeit gemeindebehörde,,,,,,,,,,,,
Organisationsform,GSB98_24ag2,Organisationsform Gemeindebehörde,,,,,,,,,,,,
Rolle,GSB98_34,Rolle Kanton Gemeindefusion übernehmen,,,,,,,,,,,,
27,GSB23_Q27,gestalten Sicht Gemeinde Zusammenarbeit Kanton,,,,,,,,,,,3.0;2.0;1.0;5.0;4.0;-99.0,
beurteilen,GSB98_39,beurteilen Unterstützung reformwillig Gemeinde Kanton,,,,,,,,,,,,
Wahlbeteiligung,GSB98_43,Wahlbeteiligung Gemeinde letzter,,,,,,,,,,,,
letzter,GSB98_46,letzter 10 leicht schwierig Vakant Ämter Gemeindeexekutive qualifiziert Kandidat finden,,,,,,,,,,,,
Bedeutung,GSB98_50,Bedeutung lokal Partei Gemeindepolitik letzter 5 verändern,,,,,,,,,,,,
Gemeinde,GSB05_1,Gemeinde unterschiedlich Masse bestimmt gesellschaftlich Entwicklung betreffen nachfolgend Reihe Entwicklung auflisten,,,,,,,,,,,,
real,GSB05_4,real Ertrag Einkommen Vermögenssteuer Gemeinde 2001 verändern,,,,,,,,,,,,
nachfolgend,GSB05_9,nachfolgend verschieden Reform reorganisationsmassnahme aufführen Veränderung letzter 10 Gemeinde erfolgreich unternehmen Erfolg unternehmen unternehmen,,,,,,,,,,,,
folgend,GSB05_10,folgend betrieblich Massnahm Gemeinde 10 einführen,,,,,,,,,,,,
Dauer,GSB05_13a1,Dauer Zusammenarbeit Unterstützung Betreuung alt Person,,,,,,,,,,,,
22,GSB23_Q22,Rolle Kanton Zusammenhang Gemeindefusion übernehmen,,,,,,,,,,,4.0;3.0;2.0;1.0;-99.0,
Wahlbeteiligung,GSB05_34a,Wahlbeteiligung letzter Wahl Gemeindeexekutive,,,,,,,,,,,,
folgend,GSB05_35,folgend politisch Partei politisch Gruppierung Kandidat Wahl Beteilig Gemeinde organisieren letzter 5 gründen Gruppierung letzter 5 auflösen,,,,,,,,,,,,
Höhe,GSB05_39a,Höhe jährlich Entschädigung gesamt Gemeindeexekutive,,,,,,,,,,,,
Personalbestand,GSB05_51a1,Personalbestand Anzahl kommunal Verwaltung eng Sinn,,,,,,,,,,,,
48,"GSB23_Q48_1_1
_1",Personalbestand Anzahl kommunal Verwaltung eng Sinn,,,,,,,,,,,,
Veränderung,GSB05_52a,Veränderung Personalbestand stellenprozenen letzter 10,,,,,,,,,,,,
stehen,GSB09_24,stehen Stimmberechtige Gemeinde folgend direktdemokratisch Instrument Verfügung falls häufig letzter ergreifen,,,,,,,,,,,,
beurteilen,GSB09_26,beurteilen Interesse Bevölkerung Gemeinde Gemeindepolitik,,,,,,,,,,,,
30,GSB23_Q30,beurteilen Interesse Bevölkerung Gemeinde Gemeindepolitik,,,,,,,,,,,3.0;1.0;5.0;4.0;6.0;2.0;7.0;-99.0,
schwierig,GSB09_32,schwierig gestalten Suche genügend qualifiziert Kandidateninn Vakant Ämter Gemeindeexekutive,,,,,,,,,,,,
entscheid,GSB09_48A,entscheid Gemeindeversammlung Urnenabstimmung verlangen,,,,,,,,,,,,
7,GSB23_Q7,stehen Gemeinde kantonal Finanzausgleich,,,,,,,,,,,1.0;2.0;99.0;4.0;3.0;-99.0,
9,GSB23_Q9,Anteil Steuereinnahme Gesamteinnahm Gemeinde,,,,,,,,,,,3.0;99.0;5.0;2.0;1.0;4.0;-99.0,
18,GSB23_Q18_1,erbringen nachfolgend Aufgabe Eigenerstellung interkommunal Zusammenarbeit ikz privat Anbieter,,,,,,,,,,,5.0;1.0;3.0;2.0;4.0;-99.0;6.0;7.0,
26,GSB23_Q26,Autonomie Gemeinde letzter 10 eher eher abnehmen,,,,,,,,,,,2.0;3.0;1.0;99.0;-99.0,
30,GSB23_Q30,beurteilen allgemein Interesse Bevölkerung Gemeinde Gemeindepolitik,,,,,,,,,,,3.0;1.0;5.0;4.0;6.0;2.0;7.0;-99.0,
35,GSB23_Q35_1_1,folgend politisch Partei politisch Gruppierung kandidierend wahl beteiligter Gemeinde organisieren,,,,,,,,,,,1.0;2.0,
37b,GSB23_Q37b,Frau,,,,,,,,,,,4.0;3.0;1.0;2.0;0.0;5.0;-99.0;6.0;13.0;10.0,
42b,GSB23_Q42b,verschieden Person nehmen ämter,,,,,,,,,,,22.0;-99.0;16.0;7.0;18.0;19.0;13.0;5.0;10.0;28.0;20.0;15.0;17.0;39.0;81.0;38.0;23.0;27.0;3.0;55.0;14.0;25.0;53.0;56.0;35.0;31.0;37.0;30.0;59.0;42.0;40.0;62.0;60.0;32.0;45.0;9.0;24.0;21.0;49.0;57.0;6.0;26.0;29.0;82.0;43.0;150.0;200.0;77.0;44.0;65.0;46.0;48.0;100.0;36.0;50.0;52.0;12.0;34.0;64.0;80.0;84.0;11.0;63.0;58.0;71.0;51.0;41.0;8.0;66.0;33.0;72.0;68.0;0.0;47.0;70.0;75.0;1.0;119.0;54.0;137.0;180.0;104.0;74.0;95.0;193.0;113.0;78.0;124.0;101.0;207.0;73.0;500.0;85.0;76.0;87.0;108.0;61.0;98.0;120.0;90.0;116.0;220.0;91.0;276.0;130.0;67.0;4.0;190.0;2.0;107.0;163.0;69.0;93.0;110.0;115.0;143.0,
Gemeinde,GSB17_Q47,Gemeinde letzter vorstössen Initiativ unternehmen Gemeindeversammlung Gemeindeparlament ersetzen,,,,,,,,,,,,
49,GSB23_Q49,Personalbestand Stellenprozent letzter 10 verändern,,,,,,,,,,,1.0;3.0;2.0;-99.0,
52,GSB23_Q52,arbeiten derder Gemeindepräsidentin aktiv Verwaltung dh erledigen Ersie administrativ Tätigkeit ähnlich verwaltungsmitarbeitend,,,,,,,,,,,2.0;1.0;-99.0,
55,GSB23_Q55,operativ Leitung Gemeindeverwaltung zuständig,,,,,,,,,,,5.0;4.0;2.0;7.0;-99.0;1.0;6.0;3.0,
58,GSB23_Q58,hoch abgeschlossen Ausbildung,,,,,,,,,,,7.0;6.0;5.0;2.0;4.0;-99.0;8.0;3.0;1.0,
1,GSB23_Q1_1,1 Gemeinde unterschiedlich Masse bestimmt gesellschaftlich Herausforderung betroffen bitte geben Ausmass Gemeinde betreffen Überalterung,,,,,,,,,,,2.0;1.0;3.0;-99.0,
